"STATDISPID","statcode","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003171939","00551020","資源・エネルギー統計年報 年報 原油 原油在庫 月次","石油製品需給動態統計調査","石油統計","年報","年次",0,"2025-02-10"
"0003171945","00551020","資源・エネルギー統計年報 年報 原油 原油処理 月次","石油製品需給動態統計調査","石油統計","年報","年次",0,"2025-02-10"
"0003171949","00551020","資源・エネルギー統計年報 年報 石油製品 石油製品の輸出入／国・地域別月別輸入 月次","石油製品需給動態統計調査","石油統計","年報","年次",0,"2025-02-10"
"0003171952","00551020","資源・エネルギー統計年報 年報 参考資料 石油備蓄量推移 月次","石油製品需給動態統計調査","石油統計","年報","年次",0,"2025-02-10"
"0003171965","00551020","資源・エネルギー統計年報 年報 原油 非精製用出荷内訳 月次","石油製品需給動態統計調査","石油統計","年報","年次",0,"2025-02-10"
"0003171969","00551020","資源・エネルギー統計年報 年報 石油製品 石油製品の輸出入／月別輸入 月次","石油製品需給動態統計調査","石油統計","年報","年次",0,"2025-02-10"
"0003171973","00551020","資源・エネルギー統計年報 年報 参考資料 石油輸入価格推移 月次","石油製品需給動態統計調査","石油統計","年報","年次",0,"2025-02-10"
"0003171983","00551020","資源・エネルギー統計年報 年報 原油 原油地域別、国別輸入 月次","石油製品需給動態統計調査","石油統計","年報","年次",0,"2025-02-10"
"0003171984","00551020","資源・エネルギー統計年報 年報 原油 原油油種別輸入 月次","石油製品需給動態統計調査","石油統計","年報","年次",0,"2025-02-10"
"0003171988","00551020","資源・エネルギー統計年報 年報 石油製品 石油製品国内向月別販売 月次","石油製品需給動態統計調査","石油統計","年報","年次",0,"2025-02-10"
"0003171991","00551020","資源・エネルギー統計年報 年報 石油製品 石油製品の輸出入／国・地域別月別輸出 月次","石油製品需給動態統計調査","石油統計","年報","年次",0,"2025-02-10"
"0003171992","00551020","資源・エネルギー統計年報 年報 石油製品 石油製品製造業者・輸入業者月別消費者･販売業者向販売 月次","石油製品需給動態統計調査","石油統計","年報","年次",0,"2025-02-10"
"0003171993","00551020","資源・エネルギー統計年報 年報 参考資料 契約期間別原油月別輸入、ＣＩＦ総額、平均API度及び平均硫黄分 年次","石油製品需給動態統計調査","石油統計","年報","年次",0,"2025-02-10"
"0003171994","00551020","資源・エネルギー統計年報 年報 参考資料 供給者区分別原油月別輸入 月次","石油製品需給動態統計調査","石油統計","年報","年次",0,"2025-02-10"
"0003172003","00551020","資源・エネルギー統計年報 年報 石油製品 石油製品の輸出入／月別輸出 月次","石油製品需給動態統計調査","石油統計","年報","年次",0,"2025-02-10"
"0003172004","00551020","資源・エネルギー統計年報 年報 石油製品 石油製品月別業態別在庫 月次","石油製品需給動態統計調査","石油統計","年報","年次",0,"2025-02-10"
"0003172005","00551020","資源・エネルギー統計年報 年報 石油製品 製造業者・輸入業者品種別、月別消費者・販売業者向販売及び在庫内訳 月次","石油製品需給動態統計調査","石油統計","年報","年次",0,"2025-02-10"
"0003172006","00551020","資源・エネルギー統計年報 年報 参考資料 契約期間別原油月別輸入、ＣＩＦ総額、平均API度及び平均硫黄分 年度次","石油製品需給動態統計調査","石油統計","年報","年次",0,"2025-02-10"
